# thingid,z,specz_ra,specz_dec,logms_pca_bc03
126899122,0.26038,133.0245056,1.748832,11.693845873199999
1237663542613573849,0.24439,340.1976,-0.513003,10.971954467473552
64474270,0.07721,214.3178864,-1.589232,11.5665858732
100844077,0.19233,213.5736847,0.226841,11.3526258732
122960165,0.39236,333.69456,1.130711,11.721357835165687
89465721,0.0936,180.69439,-0.247511,9.691379617579514
65308841,0.07693,178.4807739,-1.466661,11.109035873199996
84680413,0.06262000000000001,182.1842651,-0.54084,11.614755873199996
49084122,0.2644,36.121317,-4.165344,11.555799388850572
1237679321789366433,0.30508,39.157044,-5.2011910000000015,11.748347495798953
51175866,0.35528000000000004,33.965627000000005,-3.64478,11.721285812032876
1237659325490332008,0.25826,242.35453,42.911651,11.676939277997008
126902446,0.10436,137.2038727,1.72633,10.9964858732
43983051,0.12775,33.801082,-5.422137,11.26681507524336
63530114,0.28423000000000004,218.6695557,-1.71118,11.6345758732
1237654605853688196,0.25832,139.64667,3.921746,11.668614899448585
88503527,0.05315,215.2985077,-0.3727,10.465875873199998
90553349,0.30421,213.6316986,-0.296811,11.5522758732
1237661388150210754,0.23604,238.85799,43.749897,11.493534821391222
1237648704057180827,0.44235,222.1079,-0.259633,11.659854428551624
60628325,0.13338,219.14652,-2.08218,11.784185873199997
130172119,0.07096000000000001,134.568924,2.0218990000000003,10.7809258732
104581982,0.13059,217.7449188,0.406691,11.393895873199996
1237648720712106076,0.2084300000000001,221.6482391,-0.536755,11.52178824834118
130118121,0.07549,131.3366699,2.003979,11.423225873199996
1237678617945571745,0.14898,339.19458,1.611616,11.715052454033868
1237679322321846538,0.24394,28.986223,-5.3716019999999975,11.818498043750875
103147506,0.19837,179.8873749,0.372891,11.566425873199996
86174364,0.11506,219.7867126,-0.536381,11.434915873199998
113492441,0.0778,130.4485168,0.81934,11.402375873199999
48085442,0.14021,33.639258,-4.4865309999999985,11.662896962618106
104581981,0.13053,217.74501040000004,0.404629,11.180885873199998
88993477,0.13795,219.4326477,-0.316051,11.891245873199999
1237654605317013856,0.35864,140.07093,3.411822,11.458715700311586
1237678618483032283,0.14253,340.43338,2.03187,11.529702480809648
1237663543686332582,0.25296,337.8629200000001,0.209424,11.464047182002108
76007299,0.17192000000000002,216.2546082,-1.0360200000000002,11.396625873199996
46109332,0.18048,33.138627,-4.809054,11.475782374909613
89490570,0.09917,177.6204376,-0.349712,11.215735873199996
89486167,0.08072,178.2913513,-0.398989,11.071975873199998
126896102,0.37416,335.29674,1.627422,11.715582556498704
1237678617945506284,0.10054,339.01145,1.585061,11.235372132970953
43437386,0.24447,36.556648,-5.446129,11.995359422144249
108290028,0.0576,133.5057526,0.558968,10.997175873199996
1237678597540479043,0.10664,329.93658,2.340176,11.45224888068333
1237678881546961237,0.30983,335.95339,-1.427345,11.654182606842367
78316059,0.12548,213.8872528,-0.747728,11.484505873199996
1237650795142316440,0.23066,137.1397858,-0.794568,11.529418369202174
1237678619019510105,0.27038,339.54172,2.3782520000000003,11.689318426608224
125330491,0.05304,214.0442505,1.541398,10.373345873199998
124779689,0.13651,217.6096802,1.3202200000000002,11.469755873199999
1237654601017131636,0.36185,128.52581999999998,2.55581,11.723075708956456
1237678619018330386,0.14785,336.87676,2.384113,11.636671524902338
1237648720172744998,0.13452,215.99748230000003,-0.890645,11.65865017735632
113866887,0.07753,214.3811646,0.77165,11.351315873199999
1237678879960203434,0.13693,30.410035,-2.784901,11.604119962372351
41724329,0.19817,34.537014,-5.806712,11.266199826786758
1237655499204460964,0.39992,210.79167,-1.995633,11.668350623775039
86180598,0.14861,220.4402771,-0.470612,11.467835873199999
86173007,0.07337,219.6317139,-0.599412,10.746655873199996
1237655468060836074,0.37907,225.59233,1.128386,11.585510499498925
126371487,0.11277,218.22151180000003,1.540023,11.478695039229931
66928690,0.10675,220.2304077,-1.410082,11.570035873199997
70161480,0.09833,334.4140700000001,-1.118,11.204745873199997
45638094,0.14309000000000002,36.813286,-5.075667,11.612344856082927
95127765,0.09574,213.0166626,-0.020079,11.096925873199996
89483448,0.16184,178.5616608,-0.26893,11.259165873199999
99009222,0.35979,139.1792755,0.07310900000000001,12.036277024817537
53740353,0.28729,31.273047,-3.152788,11.793319563366824
51065207,0.05694,33.69701,-3.699995,10.639740747981703
1237655498668245195,0.34512,212.28739,-2.408337,11.64915868814569
61955923,0.056379999999999986,218.18436,-2.088829,10.606845873200001
66734977,0.08121,179.7591858,-1.313052,11.4085558732
1237660025032540494,0.20701,341.56823,-0.685412,11.356206083029974
114549745,0.19579,140.116272,0.80887,11.371775873199999
66876235,0.11525,220.0042572,-1.301408,11.054285873199998
1237656906343121194,0.28891999999999995,332.74213,-0.964674,11.452409093995811
63646338,0.16315,181.68991090000003,-1.85499,11.527725873199996
1237659330849866087,0.23256,242.78525,43.637842,11.334382120941882
50946846,0.32624000000000003,37.559158,-3.723848,11.972759539610704
78512551,0.05256,215.944519,-0.6641090000000001,11.078065873199996
