# thingid,tf_morpho,RA,Dec,logms_pca_bc03,z
36373501,stream,30.536081,-6.821022,11.197297659906326,0.08672
36672745,stream,35.063764,-6.868264999999999,11.744781300047181,0.30098
36867751,stream,35.57965,-6.8103130000000025,11.605011969062614,0.14004
37890758,stream,35.617274,-6.571396000000001,11.339728668055615,0.15396
38339122,shell,33.607401,-6.461172,12.023470945874578,0.23655
38453134,shell,30.575676,-6.537419,11.562783801637124,0.30997
38524783,stream,30.822642,-6.3700160000000015,10.96279593266081,0.05189
38654293,stream,31.257711,-6.372758,11.391753123141825,0.18854
39206835,stream,33.087588000000004,-6.32453,11.09665859953384,0.1398
39749908,stream,31.433005,-6.16711,11.531616801017664,0.22693
40000992,stream,32.313111,-6.149362,10.459888614343072,0.13881
40001007,stream,32.266268,-6.195109,11.343072542687874,0.10745
40168220,stream,36.155739,-6.177059,11.440106237438158,0.25903000000000004
40216897,stream,36.289192,-6.073777,10.474852483021095,0.05122
40334258,stream,33.274901,-6.150333,11.583391106250927,0.13942000000000002
40514858,stream,30.354476,-6.092467,11.303988739498893,0.16618
40646158,stream,34.317071,-6.066261,11.232854069967287,0.10173
40783600,shell,34.787871,-5.910467,11.368701681654784,0.14895999999999998
41095405,stream,35.70689,-6.025213,11.638342705729885,0.31041
41235486,shell,32.851158,-5.841469,11.732102404814215,0.29738000000000003
41339657,stream,36.443647,-5.862521,11.446078684559323,0.23065
41451925,shell,33.610786,-5.872878,11.534422517579515,0.20599
41596708,stream,30.583759000000004,-5.871497,11.55238591961097,0.23642
41676115,stream,37.481565,-5.722105,11.80020691466052,0.35714
41724329,shell,34.537014,-5.806712,11.266199826786758,0.19817
41993103,shell,35.484971,-5.758787,11.843035920755938,0.25906
42279495,stream,36.250327,-5.693213,11.621788676944561,0.34085
42677347,stream,37.400908,-5.561667,11.326727891791961,0.24026
42718193,stream,37.522849,-5.683184,11.441508180214438,0.19295
42854964,shell,33.093686,-5.598939,11.691719184949761,0.30139
42855143,shell,33.112449,-5.626558,11.945312102005119,0.29991
43113926,shell,34.33595,-5.429814,11.342188123031518,0.12749000000000002
43131407,stream,34.479814000000005,-5.4480660000000025,11.730382699926851,0.24939
43232572,stream,34.901708,-5.522313,11.007221654988825,0.08421000000000001
43232727,stream,34.945848,-5.5836760000000005,11.360127065170673,0.1664
43280115,stream,36.209603,-5.489699,11.769542188441848,0.33276999999999995
43437386,shell,36.556648,-5.446129,11.995359422144249,0.24447
43783435,stream,32.740781,-5.283428,10.763085436658,0.13742
43828934,stream,37.714579,-5.452298000000001,11.571922499570064,0.28597
43983051,shell,33.801082,-5.422137,11.26681507524336,0.12775
44250785,shell,34.971022,-5.306665,10.561810726387193,0.07322000000000001
44436572,stream,35.819113,-5.208317,11.800644546747208,0.33027
44724681,stream,32.291039000000005,-5.158931,11.512355439481325,0.13929
44732658,stream,33.495106,-5.186262,11.583628832289829,0.35451
45213196,shell,34.801869,-5.083825,11.673170450550973,0.19601
45523517,stream,36.18496500000001,-5.0818970000000006,11.023206059864604,0.08565
45523550,stream,36.296028,-4.909313,11.544325737573672,0.23789
45581110,stream,36.518867,-4.992736,10.958717226152661,0.05409
45638082,shell,36.785813,-5.074324,10.750272496894468,0.14925
45638094,shell,36.813286,-5.075667,11.612344856082927,0.14309000000000002
45782869,stream,37.633348,-4.989596,11.531906710821204,0.29139
46109332,shell,33.138627,-4.809054,11.475782374909613,0.18048
46109535,stream,31.781216,-4.926928,11.286482879862888,0.2431
46273066,stream,35.126914,-4.867442,10.799408889914048,0.3176
46462705,stream,36.246794,-4.79289,11.11634713721287,0.32726
46597279,shell,37.018688,-4.849895,11.682748460123547,0.29408
46718250,stream,32.827480300000005,-4.7172839999999985,8.167752160297368,0.0875
46845394,stream,38.143518,-4.760926,11.587540783628356,0.18901
46888181,shell,33.689876,-4.652993,11.339475683605995,0.1609
46903246,stream,38.53621,-4.778582,11.75344777216378,0.25287
46907921,stream,33.799776,-4.6745,11.605348569602938,0.29142
47256139,stream,35.56480999999999,-4.531833,11.349298271117732,0.20046
47406793,shell,32.708805,-4.649613,11.461230955435893,0.12992
47410531,stream,31.618379,-4.68626,11.449544479968607,0.13635999999999998
47628323,shell,32.994941,-4.6239940000000015,11.647433489968536,0.27071
48085442,shell,33.639258,-4.4865309999999985,11.662896962618106,0.14021
48085525,stream,33.626232,-4.465244,11.38737344526453,0.14076
48133155,stream,35.40055200000001,-4.420076,8.078440035177664,0.0695
48184017,stream,35.74159500000001,-4.311376,11.545663658820558,0.23757
48269708,stream,36.151385,-4.384983,11.528110418235883,0.26396
48420798,shell,37.072666,-4.2714349999999985,11.862388361638295,0.2094
48468464,stream,32.396276,-4.262524,11.720411158225033,0.2994
48973165,stream,30.423733,-4.243308,11.681830514135072,0.34861
49084122,shell,36.121317,-4.165344,11.555799388850572,0.2644
49272874,shell,37.122084,-4.14657,11.50864106003428,0.20996
49278559,stream,32.697102,-4.188598000000002,11.469495915109293,0.15839
49304999,stream,37.247562,-4.179242,11.672135930304648,0.36851
49733481,stream,35.067785,-4.078043,11.156336891988756,0.13994
49836358,stream,35.66077100000001,-3.941557,11.252105947525706,0.15052
49868448,shell,30.558567,-3.988626,11.492257387246356,0.21654
50102057,shell,32.118904,-4.01215,10.563313751510575,0.05704
50126085,stream,37.250001,-3.989514,11.28736603667494,0.20822
50203676,stream,32.984648,-3.825208,11.100850084956619,0.0949
50355319,stream,34.109494,-3.929414,11.511551282892473,0.25202
50432879,stream,32.394054,-3.841772,11.716670533060094,0.29894
50440270,stream,33.470345,-3.870268,10.161613882861277,0.13959000000000002
50511968,stream,34.886388000000004,-3.715443,10.77040982304607,0.17797000000000002
50656702,stream,35.689229,-3.862931,11.092484508699274,0.08476
50900478,stream,32.418344,-3.659286,11.454412523322391,0.26588
50946846,shell,37.559158,-3.723848,11.972759539610704,0.32624000000000003
50975516,stream,37.662526,-3.683244,11.580280526643035,0.31902
51000151,shell,37.873226,-3.62631,11.58871903810359,0.32035
51065207,shell,33.69701,-3.699995,10.639740747981703,0.05694
51175866,shell,33.965627000000005,-3.64478,11.721285812032876,0.35528000000000004
51303394,stream,34.363373,-3.659067,11.600936447561253,0.29077
52019602,shell,37.725606,-3.519092,11.41945607654634,0.18833
52108138,stream,38.312164,-3.366968,11.457020185713189,0.27326
52468948,stream,30.809554,-3.5104370000000005,11.563703927677127,0.29207
52749730,stream,33.246832,-3.325456,11.639725794026162,0.28412
52793291,stream,33.672853,-3.4026970000000003,11.377642805164216,0.14115999999999998
53014423,stream,35.601973,-3.241606,11.79845432373986,0.34956
53092510,stream,32.404528000000006,-3.258405,11.353470119531266,0.16737
53126256,stream,37.311978,-3.379452,11.533722461696017,0.19208
53185947,stream,37.286251,-3.312967,10.735402040882036,0.0636
53326420,stream,32.757432,-3.190966,11.865829743590439,0.24231
53598632,stream,30.144092,-3.199385,11.646946723456495,0.17740999999999998
53740353,shell,31.273047,-3.152788,11.793319563366824,0.28729
53799381,shell,31.736649,-3.164899,11.224131030961873,0.12209
54060645,stream,33.81078,-3.0308080000000004,10.821885787736392,0.0682
54098306,stream,36.137351,-3.045634,11.350128063058946,0.29761
54284286,stream,35.573939,-3.013994,10.839176618756028,0.06851
54341326,stream,33.458229,-3.084697,11.609190027083967,0.27894
54596599,stream,38.280946,-3.057375,11.412475658813493,0.21021
60558308,stream,182.43181,-2.083211,11.420925873199996,0.09993
60628325,shell,219.14652,-2.08218,11.784185873199997,0.13338
61372363,stream,213.40699,-2.029796,11.884750094206538,0.29265
61537008,stream,215.2253571,-1.967018,10.901355873199996,0.10181
61664664,stream,216.03935,-2.043814,10.4593358732,0.08215
61746970,shell,216.71456,-2.060397,11.470855873199996,0.19021
61886715,stream,213.16387000000003,-2.041958,11.317785873199997,0.07374
61955923,shell,218.18436,-2.088829,10.606845873200001,0.056379999999999986
62006459,stream,218.4806061,-1.88808,11.412235873199997,0.20724
62072753,stream,218.78609,-2.061794,9.615182873199998,0.05093
62123687,stream,181.9729156,-1.915362,11.7092758732,0.32322
62125873,shell,218.91282,-2.031327,10.769005873199998,0.168
62163213,stream,219.05059,-2.018217,9.812246527377283,0.05449
62163214,stream,219.05806,-2.016753,9.935849553265145,0.05451
62181909,stream,180.08216000000004,-2.018789,9.613435873199998,0.10788
62194900,shell,179.77923,-2.051708,10.985295873199997,0.12673
62236976,stream,178.74941,-2.0371490000000003,10.883715873199996,0.07741
62249030,stream,178.61127,-2.004316,11.472595873199998,0.22499
62258265,stream,178.19871519999995,-1.921102,11.594565873199999,0.16565
62300485,stream,177.2011871,-1.884388,11.5015058732,0.09417
62308231,stream,177.06884,-1.881569,10.728169819689354,0.24203
62421056,stream,220.3409576,-1.840478,11.212195873199999,0.18168
62954294,shell,214.3690338,-1.894952,10.962725873199997,0.12812
63095797,stream,215.4936523,-1.825999,11.481025873199997,0.27736
63173677,stream,216.1449432,-1.7378619999999998,10.5872958732,0.10345
63188256,stream,214.4632874,-1.7470689999999998,10.019703873200001,0.05467
63188702,stream,216.29218,-1.803703,10.078651873199998,0.05492
63376177,stream,217.5305481,-1.838477,9.678245873199998,0.05554
63376205,stream,217.5686646,-1.756989,10.5237158732,0.05594
63376213,stream,217.5787964,-1.787699,10.871295873199998,0.05618
63376223,stream,217.6016541,-1.766908,10.735675873199998,0.05646
63530114,shell,218.6695557,-1.71118,11.6345758732,0.28423000000000004
63646338,shell,181.68991090000003,-1.85499,11.527725873199996,0.16315
63704845,stream,180.0384521,-1.805169,11.418295873199996,0.16672
63772774,stream,178.3075409,-1.781122,11.0347758732,0.13158
63780069,stream,178.29347230000005,-1.755609,11.642019547696693,0.22257
63815031,stream,177.47663880000005,-1.6435990000000005,10.8659958732,0.08311
63815032,stream,177.47677,-1.639403,10.6508258732,0.08294
63827217,stream,219.6999207,-1.810591,10.978595873199996,0.13388
63882215,stream,215.8463135,-1.723111,11.218435873199999,0.09209
64474270,shell,214.3178864,-1.589232,11.5665858732,0.07721
64512275,shell,214.5184326,-1.549549,11.563375873199996,0.26691
64512826,stream,214.6324463,-1.6841810000000002,10.865735873199997,0.11999
64649128,stream,215.4253235,-1.6873490000000002,11.513205873199999,0.10143
64702860,stream,215.9758148,-1.605448,11.190335873199999,0.12767
64725091,stream,216.0686798,-1.627199,10.981835873199996,0.09277
64785584,shell,216.5201874,-1.538941,10.443205873199998,0.0548
64802000,stream,216.63218,-1.690907,11.355568861414213,0.08242999999999999
64802605,stream,216.6356659,-1.58867,11.0425658732,0.13942000000000002
