# thingid,z,specz_ra,specz_dec,logms_pca_bc03
45523550,0.23789,36.296028,-4.909313,11.544325737573672
62300485,0.09417,177.2011871,-1.884388,11.5015058732
1237678881545191612,0.09609,331.87221,-1.4263370000000002,11.047065363265574
97359178,0.1068,334.95227,0.168122,10.139722873199998
1237678618483949714,0.27991,342.51932,1.943033,11.691499769003713
135559904,0.11858,131.8164673,2.660348,11.606535873199999
1237679322861404285,0.20443,35.216173,-4.655921,11.528636223069045
1237678596467458417,0.32597,331.64049,1.482434,11.596615265647412
132469660,0.20997,129.5739899,2.282469,11.735956252785401
76036364,0.10425,217.5584259,-0.8428559999999999,11.253506364460918
65358913,0.13624,219.6485138,-1.486542,11.206545873199996
134737125,0.05884,139.81994630000003,2.550389,10.429715873200001
1237655463785267906,0.33568000000000003,243.50672000000003,44.063693,11.548852818727028
117336727,0.06074,132.0172729,1.032362,10.101254873199998
1237679998770413870,0.18854,339.36915,-1.398176,11.293688511737855
103078917,0.108,179.4446259,0.297512,10.797135873199997
1237648721247469828,0.13692,218.29417,-0.13538599999999998,11.464105777093213
100844077,0.19233,213.5736847,0.226841,11.3526258732
48973165,0.34861,30.423733,-4.243308,11.681830514135072
97553091,0.12082,214.9940338,0.108348,10.992935873199999
1237678889063415998,0.35723,38.686119,-2.29545,11.590532652800903
1237679440425975958,0.19286,36.883062,-5.403611,10.93386678083334
70168283,0.10725,335.48203,-1.05535,10.966325873199999
124489120,0.13141,181.1665039,1.269288,11.198605873199996
74355953,0.12092,179.5549469,-1.046842,11.372205873199999
117946619,0.12618,217.087677,0.936611,11.015435873199998
1237678881033552134,0.16502,29.599245,-1.881956,11.311632652243135
132004657,0.08903,140.2860107,2.333931,11.436585873199999
112120897,0.14992,333.85116,0.697819,11.025315873199999
1237679253597519966,0.09805,33.9329834,-4.84657,10.540419550758088
80091760,0.21188,137.96356200000002,-0.755099,11.462475873199999
112400868,0.22867,178.7144623,0.6525479999999999,11.583095873199998
1237648703520178572,0.20983,221.8950958,-0.6781,11.50578088714974
62123687,0.32322,181.9729156,-1.915362,11.7092758732
1237673700743839977,0.34243,40.133874,-5.837271,11.920407915662508
1237659161736381021,0.36102,237.13641,42.816079,11.633566595439332
126215972,0.23242,218.8981171,1.476338,11.263535873199999
1237648702979178751,0.27314,212.3824463,-1.150167,11.495806493578133
84693854,0.10008,182.2433472,-0.602688,10.792115873199997
1237679438815035558,0.2028,36.231951,-6.747363000000001,11.617657834693091
1237679254134849784,0.0695,35.026249,-4.407518,10.743116912606638
107183750,0.12902,217.6019135,0.490991,11.134895873199996
89790551,0.05133,130.61721799999998,-0.283541,9.8704918732
1237678880497074295,0.13652,30.448907,-2.408356,11.47292098129401
121372307,0.1251,180.2131653,1.145568,10.8373758732
53014423,0.34956,35.601973,-3.241606,11.79845432373986
1237679324469592249,0.16652,29.632815,-3.642433,11.441979054769034
68550958,0.1818,213.0365906,-1.14478,11.304005873199998
130558838,0.05696,135.3835144,2.0621,10.697055873199998
117354092,0.19342,133.9073639,0.922211,11.206865873199996
51303394,0.29077,34.363373,-3.659067,11.600936447561253
131891138,0.07674,132.0173187,2.219418,10.919625873199998
1237663543686463698,0.30051,338.16983,0.236238,11.25567702596891
50900478,0.26588,32.418344,-3.659286,11.454412523322391
